Component_ID,Component_Type,Vibration,Temperature,Pressure,Operating_Hours,Remaining_Useful_Life,Machine_ID,Timestamp,Last_Service_Date
CMP0040,Hydraulic Cylinder,5.0,75.71244123707214,132.6936232913237,3919,78,M014,2025-03-14 10:32:00,2024-03-14 10:32:00
CMP0041,Engine,2.611509484195143,98.96578223947506,68.32691393041024,769,677,M017,2025-01-03 14:16:30,2024-10-24 14:16:30
CMP0042,Engine,4.346428918962716,46.1567723368254,230.83494413630882,1577,634,M017,2025-02-09 04:16:56,2024-10-09 04:16:56
CMP0043,Engine,3.834969323593569,51.25206605158425,166.6483323814425,4945,167,M015,2025-03-13 11:18:39,2024-06-12 11:18:39
CMP0044,Hydraulic Cylinder,3.7877469126940344,59.12584229419209,233.43134591172327,3604,272,M019,2025-03-13 23:59:40,2024-06-05 23:59:40
CMP0045,Hydraulic Cylinder,1.8085346241040792,94.92357556800796,162.50003863980913,3797,234,M007,2025-06-21 16:01:53,2024-09-08 16:01:53
CMP0046,Engine,1.6462081050385056,98.2721637192545,93.4853626121992,3503,394,M006,2025-06-24 15:54:15,2024-09-17 15:54:15
CMP0047,Hydraulic Cylinder,4.34983200964262,98.01809218223431,128.15416016455305,2469,235,M003,2025-03-02 15:28:11,2024-06-03 15:28:11
CMP0048,Gear,2.6346375067542254,98.12782626009017,197.93796742909797,4748,50,M015,2025-08-03 13:08:06,2024-08-03 13:08:06
CMP0049,Engine,1.013482678873222,87.95105402557944,68.30241845108503,1628,624,M016,2025-01-25 08:00:15,2024-09-23 08:00:15
CMP0050,Hydraulic Cylinder,4.440399945658461,93.97069150356408,276.802726802928,574,453,M020,2025-03-03 01:41:44,2024-12-23 01:41:44
CMP0051,Hydraulic Cylinder,0.40150007584191005,54.61603999819643,97.71736695873554,1603,730,M010,2025-04-04 18:11:58,2024-12-17 18:11:58
CMP0052,Engine,1.4498656213098635,60.22421339421374,295.3855434799464,2941,457,M020,2025-02-22 19:58:29,2024-06-13 19:58:29
CMP0053,Hydraulic Cylinder,3.62717992807863,45.179664797674,231.14973374133473,551,659,M017,2025-05-16 12:32:37,2025-03-18 12:32:37
CMP0054,Hydraulic Cylinder,1.5062202719149116,82.27216224346864,71.99429613967187,293,796,M016,2025-01-25 12:44:10,2025-01-01 12:44:10
CMP0055,Gear,4.17330456367555,70.14096791621814,97.18916140562112,2118,266,M002,2025-03-18 21:23:18,2024-10-05 21:23:18
CMP0056,Engine,3.5110004390610685,49.911549971024044,274.5310079914664,2041,529,M009,2025-03-26 19:56:18,2024-10-27 19:56:18
CMP0057,Hydraulic Cylinder,3.048939963532056,58.86210803534672,277.78155873849283,2334,391,M009,2025-02-20 15:57:48,2024-10-23 15:57:48
CMP0058,Gear,5.0,51.60997736448494,274.1638325222529,1603,241,M002,2025-05-23 03:42:31,2025-01-20 03:42:31
CMP0059,Gear,2.046761805992339,97.08857254997834,148.40420263453052,4687,50,M012,2025-09-04 11:33:57,2024-10-23 11:33:57
CMP0060,Engine,1.3295389310586425,63.16635255440395,263.98546419286174,1933,639,M009,2025-07-01 04:40:48,2025-01-08 04:40:48
CMP0061,Engine,1.2084047265607614,94.97271898676979,284.9846743093279,203,795,M002,2025-01-08 10:26:08,2024-12-31 10:26:08
CMP0062,Engine,1.9194530947891308,91.04434212785429,95.25866122376242,906,650,M007,2025-09-14 12:15:43,2025-07-22 12:15:43
CMP0063,Engine,0.9957522885238776,43.453474277438524,293.8632046002114,2033,679,M010,2025-03-30 07:17:58,2024-10-09 07:17:58
CMP0064,Engine,3.9010429647676017,57.55481594599821,258.21164783188647,3248,268,M010,2025-02-08 23:02:50,2024-07-19 23:02:50
CMP0065,Hydraulic Cylinder,4.0630173227356385,84.50576913310606,277.0791493198376,3205,109,M019,2025-04-02 16:18:38,2024-06-03 16:18:38
CMP0066,Gear,3.82726648856698,100.0,293.51962197873394,4172,50,M006,2025-02-26 02:57:24,2024-04-14 02:57:24
CMP0067,Hydraulic Cylinder,3.436638856176293,40.911891377700414,260.52778337305216,745,658,M017,2025-01-11 03:24:01,2024-10-05 03:24:01
CMP0068,Engine,0.9393636674978487,46.53558870888667,210.7327269635759,2515,691,M016,2025-04-26 20:44:04,2024-08-25 20:44:04
CMP0069,Hydraulic Cylinder,0.9073949102503942,77.98914962073701,245.88917316265585,2059,568,M013,2025-06-30 10:41:20,2025-03-03 10:41:20
CMP0070,Hydraulic Cylinder,3.546564444480442,98.85316753639941,123.51176264073779,1650,423,M007,2025-09-07 16:14:47,2025-04-18 16:14:47
CMP0071,Gear,0.9574702521632033,100.0,256.69910017155155,3021,120,M015,2025-08-24 15:28:15,2024-11-01 15:28:15
CMP0072,Gear,2.37950583921309,88.37053399124727,300.0,1624,231,M012,2025-01-03 15:47:40,2024-07-31 15:47:40
CMP0073,Hydraulic Cylinder,1.4859014657749001,48.77022691186025,237.65148760341626,3268,520,M002,2025-07-21 21:15:53,2024-11-10 21:15:53
CMP0074,Hydraulic Cylinder,3.945487074466996,62.39834421361316,88.46184745566018,2306,404,M016,2025-09-04 14:51:54,2025-01-25 14:51:54
CMP0075,Hydraulic Cylinder,2.557788004331912,69.70010316306048,115.86884791483061,2433,505,M013,2025-04-21 03:37:03,2024-10-28 03:37:03
CMP0076,Hydraulic Cylinder,0.9177497800904753,66.66739996166714,195.5333372399496,3132,512,M020,2025-03-04 09:49:02,2024-07-31 09:49:02
CMP0077,Engine,2.8042057724195133,74.5869633087722,109.00380742244445,4214,248,M001,2025-04-01 02:31:33,2024-04-01 02:31:33
CMP0078,Hydraulic Cylinder,2.127912626636344,52.01066811133573,223.05469497003054,1013,661,M007,2025-07-31 01:04:54,2025-06-02 01:04:54
CMP0079,Gear,4.9749167967697385,99.55456043590407,109.2868523946243,3582,50,M004,2025-01-20 09:44:15,2024-01-24 09:44:15
CMP0080,Engine,3.9311504987118067,59.34159775526636,85.84933497345983,2503,396,M015,2025-06-18 05:31:42,2025-01-01 05:31:42
CMP0081,Hydraulic Cylinder,2.463611358545508,63.97425299995693,161.92958159760136,584,627,M010,2025-08-22 15:10:27,2025-07-09 15:10:27
CMP0082,Gear,5.0,47.29668260101852,227.5954959905377,683,332,M013,2025-08-09 00:16:19,2025-05-23 00:16:19
CMP0083,Gear,4.64431631807529,70.58490709976999,190.30346400781275,302,402,M010,2025-06-15 06:23:44,2025-05-06 06:23:44
CMP0084,Gear,4.448131289877033,95.56756778191267,166.87141457113324,915,260,M014,2025-01-18 16:59:29,2024-11-16 16:59:29
CMP0085,Engine,4.119043076200946,77.3892177146488,174.0732210203271,3442,300,M020,2025-04-11 08:27:38,2024-09-07 08:27:38
CMP0086,Hydraulic Cylinder,3.1469508351201423,78.16273618180603,113.91665721465999,4137,185,M015,2025-03-20 12:38:26,2024-07-29 12:38:26
CMP0087,Hydraulic Cylinder,0.7416269771628803,48.13941188859686,59.826425156796155,442,938,M019,2025-02-19 14:39:07,2025-01-20 14:39:07
CMP0088,Gear,1.934558962761964,80.06920491732025,155.5804324356738,3963,92,M017,2025-02-25 00:40:08,2024-02-26 00:40:08
CMP0089,Engine,3.765905513109946,92.92563355609846,168.5186576007057,1188,486,M019,2025-03-01 04:21:28,2024-12-01 04:21:28
CMP0090,Gear,4.133308440062526,61.84373876327476,109.51055447422871,4665,50,M007,2025-08-20 22:27:42,2024-08-20 22:27:42
CMP0091,Gear,5.0,100.0,103.69859494131623,3358,50,M016,2025-09-04 16:23:09,2024-11-22 16:23:09
CMP0092,Hydraulic Cylinder,0.7554867621599476,47.85258324530617,134.17579874468436,1459,828,M012,2025-02-23 13:51:23,2024-10-29 13:51:23
CMP0093,Hydraulic Cylinder,3.996869549386129,54.762167702841474,117.30412371353292,4706,130,M020,2025-06-23 18:26:55,2024-07-16 18:26:55
CMP0094,Engine,3.828606293110002,94.61291667843909,210.90532033505804,4315,88,M007,2025-03-22 07:36:23,2024-04-27 07:36:23
CMP0095,Hydraulic Cylinder,1.670705754462111,100.0,187.75980566432716,4833,88,M018,2025-09-12 10:04:25,2024-09-12 10:04:25
CMP0096,Gear,3.5749068242223387,50.838278526988475,254.20633273666462,1317,381,M008,2025-04-29 11:31:32,2025-01-18 11:31:32
CMP0097,Gear,3.1685192637217385,55.49573187754256,148.22568354606184,3540,147,M013,2025-02-11 20:13:08,2024-04-14 20:13:08
CMP0098,Hydraulic Cylinder,2.447605667898605,46.725274631731324,115.37734127081272,2357,516,M013,2025-03-14 13:38:56,2024-09-21 13:38:56
CMP0099,Hydraulic Cylinder,1.3276498533938208,59.482020958402636,195.68278978604283,352,720,M002,2025-04-21 14:39:29,2025-03-19 14:39:29
CMP0100,Hydraulic Cylinder,3.526258927045386,75.33647247249336,61.48211927419261,1326,554,M020,2025-03-03 16:47:15,2024-11-02 16:47:15
CMP0101,Hydraulic Cylinder,5.0,96.58159461117876,83.50394767045299,3336,135,M006,2025-05-20 09:02:58,2024-07-31 09:02:58
CMP0102,Hydraulic Cylinder,4.604869552879753,65.78505378855841,205.36368662939913,694,486,M001,2025-03-24 16:37:48,2025-02-04 16:37:48
CMP0103,Hydraulic Cylinder,2.3099731773870626,100.0,271.94885284283384,4673,50,M020,2025-03-10 10:32:02,2024-03-10 10:32:02
CMP0104,Engine,3.9410498491184036,52.97749503755244,113.44076336477212,3493,390,M017,2025-06-20 00:38:19,2024-08-20 00:38:19
CMP0105,Hydraulic Cylinder,5.0,84.26728942019213,133.86957751993017,1828,262,M012,2025-07-20 17:19:08,2025-01-13 17:19:08
CMP0106,Gear,3.34969137482797,54.09161973857494,217.88868127292398,3494,189,M013,2025-05-23 09:21:50,2024-10-14 09:21:50
CMP0107,Gear,1.554208506925919,61.46364215282148,198.44234237326762,3436,263,M003,2025-06-13 19:27:57,2024-06-13 19:27:57
CMP0108,Gear,4.888385852616948,80.82421479335893,300.0,4178,50,M002,2025-06-12 15:14:19,2024-06-12 15:14:19
CMP0109,Engine,4.165507102331602,92.08346931683654,271.75834121324306,1842,302,M003,2025-07-19 05:55:30,2025-01-09 05:55:30
CMP0110,Gear,1.5786420670566446,87.96952554713697,109.61481844373324,969,548,M010,2025-07-25 04:08:18,2025-03-09 04:08:18
CMP0111,Engine,3.4555723996078767,44.96738299466894,247.11477339790875,1699,564,M015,2025-03-22 04:53:42,2024-11-02 04:53:42
CMP0112,Hydraulic Cylinder,3.3870296551934365,64.23754828375858,75.33246952219791,2861,382,M003,2025-04-28 19:28:32,2024-07-26 19:28:32
CMP0113,Hydraulic Cylinder,3.264763762246641,59.207355710688674,105.49180641364396,327,772,M009,2025-05-20 08:27:56,2025-04-28 08:27:56
CMP0114,Gear,3.1699197752827475,97.78517515984872,300.0,2875,50,M003,2025-07-26 01:37:45,2024-11-17 01:37:45
CMP0115,Engine,3.6007488393123883,79.3076395500607,279.1975516901382,4122,158,M008,2025-01-01 11:04:46,2024-01-02 11:04:46
CMP0116,Engine,0.4482745802190191,92.955287116033,92.57657938828743,2159,654,M011,2025-05-19 14:27:17,2024-10-25 14:27:17
CMP0117,Gear,2.894472940774754,83.27052134845695,282.0853134029875,2184,223,M007,2025-08-24 21:31:23,2025-02-28 21:31:23
CMP0118,Hydraulic Cylinder,4.607513053327889,48.97729183873162,117.95585800357412,3566,213,M014,2025-01-29 19:21:40,2024-01-30 19:21:40
CMP0119,Hydraulic Cylinder,3.7574449701979176,60.641859973422186,233.5558000263277,2442,371,M006,2025-01-23 11:55:41,2024-08-19 11:55:41
CMP0120,Hydraulic Cylinder,4.223392217712965,96.33951163930357,229.6861526272665,614,401,M015,2025-08-11 16:42:16,2025-06-17 16:42:16
CMP0121,Engine,3.600657692366601,51.90349139897281,224.36644292743782,711,812,M014,2025-03-31 14:05:08,2025-01-15 14:05:08
CMP0122,Hydraulic Cylinder,4.644479479518912,86.97855589436455,153.5408791894664,3669,50,M012,2025-05-15 23:03:11,2024-09-19 23:03:11
CMP0123,Gear,1.6896779495891563,62.43932590213449,110.68380870119209,2383,402,M013,2025-01-05 09:22:41,2024-05-24 09:22:41
CMP0124,Gear,1.7865500102235368,76.19630838911934,226.24658565517856,3042,176,M007,2025-01-20 19:43:07,2024-07-12 19:43:07
CMP0125,Engine,2.0711093261013493,97.05925101122361,226.26616939326894,180,764,M005,2025-02-19 10:31:33,2025-02-19 10:31:33
CMP0126,Gear,0.6580398302265789,86.14737050370333,80.01677946608908,1886,456,M009,2025-09-12 01:24:50,2025-04-23 01:24:50
CMP0127,Hydraulic Cylinder,2.0420358135515966,55.2706229597249,182.83434006069623,4066,341,M016,2025-08-13 01:55:30,2024-09-06 01:55:30
CMP0128,Engine,3.803780298365451,50.96093497496768,260.6472530744562,2870,522,M007,2025-03-08 01:19:07,2024-06-14 01:19:07
CMP0129,Gear,4.840623808892513,100.0,219.83637785409366,3437,50,M014,2025-07-18 05:24:35,2024-09-11 05:24:35
CMP0130,Hydraulic Cylinder,4.9737968102716605,88.44691558103796,105.54473497856326,3491,148,M002,2025-01-26 09:10:52,2024-01-27 09:10:52
CMP0131,Engine,4.105762686887938,73.63539018901506,140.62984633686133,99,763,M016,2025-03-26 03:05:17,2025-03-26 03:05:17
CMP0132,Engine,0.10340031332837521,61.2823415532398,190.40415208940297,81,987,M016,2025-08-24 12:24:02,2025-08-24 12:24:02
CMP0133,Engine,0.6119659723302491,58.245174541747915,78.75849498927616,996,889,M005,2025-07-03 14:30:43,2025-05-06 14:30:43
CMP0134,Gear,3.0115153532801076,100.0,300.0,3268,50,M018,2025-06-16 14:32:07,2024-06-16 14:32:07
CMP0135,Hydraulic Cylinder,5.0,98.0552707735739,246.43657141936643,4432,50,M020,2025-06-29 06:59:54,2024-06-29 06:59:54
CMP0136,Engine,3.7579807138913512,90.66343881379416,93.02417936565287,3410,219,M018,2025-04-15 06:10:10,2024-08-09 06:10:10
CMP0137,Gear,2.189831755931085,89.33654102462624,171.0768069857438,422,467,M001,2025-07-09 12:40:08,2025-05-28 12:40:08
CMP0138,Hydraulic Cylinder,5.0,61.966585852666654,101.91054947122939,2218,325,M007,2025-06-22 23:15:08,2024-11-23 23:15:08
CMP0139,Engine,1.7166097871617807,67.09701572840927,65.84286210073134,3288,510,M001,2025-02-12 09:54:00,2024-06-12 09:54:00
CMP0140,Engine,1.9381757422908379,49.02095683594535,219.02415315559182,2873,609,M018,2025-01-09 01:48:54,2024-05-28 01:48:54
CMP0141,Gear,5.0,63.423848093660524,122.82246555266558,4394,50,M017,2025-02-25 03:08:19,2024-04-10 03:08:19
CMP0142,Gear,3.318574472267718,95.12553709371394,172.88276547239863,1009,339,M020,2025-06-09 22:02:06,2025-02-22 22:02:06
CMP0143,Gear,4.860467919017532,52.76878326620405,198.22225175035118,980,355,M010,2025-01-03 16:14:14,2024-09-26 16:14:14
CMP0144,Gear,4.925241260599889,56.73622517430131,223.60934493007284,3925,50,M003,2025-08-11 09:29:02,2024-09-24 09:29:02
CMP0145,Hydraulic Cylinder,4.052680279973541,83.79335871985526,148.3016553554711,3404,231,M010,2025-04-20 06:20:41,2024-04-20 06:20:41
CMP0146,Engine,4.005301302528147,91.76468591427981,123.18616347073883,3937,211,M014,2025-02-06 18:14:31,2024-05-06 18:14:31
CMP0147,Engine,2.6312353907998034,55.65675530724967,95.02213539197,1426,797,M020,2025-09-02 09:54:34,2025-05-19 09:54:34
CMP0148,Gear,3.596083092320985,57.99983974297147,162.47837347047198,3406,132,M002,2025-08-30 11:40:26,2025-01-28 11:40:26
CMP0149,Hydraulic Cylinder,4.919867996743052,83.14004090699613,94.5905943038202,3425,110,M012,2025-09-02 19:26:25,2025-02-03 19:26:25
CMP0150,Engine,2.995817382904522,66.53944931896724,75.83277349823008,2107,589,M019,2025-03-29 18:05:09,2024-10-09 18:05:09
CMP0151,Gear,3.0484643124836444,57.08546533302941,280.1768347386323,2027,259,M006,2025-01-03 21:05:00,2024-07-28 21:05:00
CMP0152,Engine,1.2736204006592962,49.93941277180153,191.16288664100256,3227,550,M004,2025-05-18 07:58:09,2024-10-12 07:58:09
CMP0153,Hydraulic Cylinder,5.0,69.92681941773306,161.74559223867828,355,500,M013,2025-02-28 21:33:02,2025-01-15 21:33:02
CMP0154,Gear,4.972417749093401,53.36654478676847,300.0,3475,50,M006,2025-08-27 03:17:16,2024-09-04 03:17:16
CMP0155,Engine,2.712547217744189,85.40308932197689,101.68938276611779,1459,478,M013,2025-03-08 02:48:26,2024-10-10 02:48:26
CMP0156,Hydraulic Cylinder,0.8566777080331576,97.36163759423548,167.97494374339195,2287,436,M016,2025-06-24 16:51:15,2025-02-02 16:51:15
CMP0157,Gear,5.0,67.69476000433193,144.38075393703426,3076,73,M001,2025-07-08 12:00:15,2024-07-24 12:00:15
CMP0158,Hydraulic Cylinder,4.102893201737822,100.0,98.67014969897306,3870,50,M017,2025-04-07 13:23:46,2024-06-13 13:23:46
CMP0159,Engine,4.208976554154274,66.78625592469169,278.74305171244555,3994,160,M004,2025-08-08 01:39:16,2024-10-21 01:39:16
CMP0160,Engine,4.205559610412539,78.50003611399299,171.0864051230156,3666,187,M002,2025-06-02 21:26:54,2024-09-07 21:26:54
CMP0161,Gear,4.056726365727976,100.0,122.04552719879655,3424,50,M017,2025-04-25 18:50:39,2024-07-28 18:50:39
CMP0162,Engine,3.6992487703135324,100.0,132.39622411884721,3893,204,M011,2025-01-23 04:41:56,2024-01-24 04:41:56
CMP0163,Hydraulic Cylinder,2.1722115734421195,47.85571864030053,130.1453397479265,28,820,M020,2025-06-24 17:58:29,2025-06-21 17:58:29
CMP0164,Engine,0.6583354222259258,45.647248210493295,66.08805839938636,1073,958,M004,2025-08-02 11:29:53,2025-05-07 11:29:53
CMP0165,Hydraulic Cylinder,0.699444823012351,80.57215195714078,151.8602722689408,1813,562,M008,2025-05-30 12:19:10,2024-12-08 12:19:10
CMP0166,Hydraulic Cylinder,2.1718482807432955,70.28984753037413,69.3792887834173,2746,428,M019,2025-04-01 23:53:59,2024-10-10 23:53:59
CMP0167,Engine,4.218405976311875,100.0,100.29147750311486,1620,394,M010,2025-01-26 13:06:31,2024-10-22 13:06:31
CMP0168,Engine,3.122092972403813,97.68220546444645,124.7113822072433,4323,118,M003,2025-04-26 23:11:29,2024-04-29 23:11:29
CMP0169,Hydraulic Cylinder,0.7076006682596432,62.34910908735273,195.65093508978507,630,773,M011,2025-08-20 07:31:49,2025-06-24 07:31:49
CMP0170,Engine,2.629411354837254,100.0,263.87419700271397,3443,184,M011,2025-05-22 08:20:49,2024-10-05 08:20:49
CMP0171,Gear,4.041598631694908,71.73843140636193,262.9448467081179,1712,229,M004,2025-07-06 05:24:15,2024-12-03 05:24:15
CMP0172,Engine,3.8113277068978326,73.56395453644794,126.51444150278667,3550,337,M012,2025-01-03 20:44:05,2024-07-06 20:44:05
CMP0173,Engine,3.2104124129169307,72.20778491375442,138.58124285651476,2088,496,M015,2025-08-29 15:44:36,2025-03-27 15:44:36
CMP0174,Gear,2.900364090196516,52.20796512369731,179.8646638772952,3562,231,M014,2025-07-10 08:57:39,2024-07-10 08:57:39
CMP0175,Engine,4.123437231391239,51.18174025008919,135.62908934488362,1937,649,M020,2025-08-08 15:06:55,2025-03-14 15:06:55
CMP0176,Engine,2.3540780744364413,91.7182679136825,287.0373870448171,3958,138,M010,2025-04-12 06:05:38,2024-06-17 06:05:38
CMP0177,Gear,1.0053113644342093,100.0,163.13508930978418,2780,202,M013,2025-03-25 20:02:04,2024-08-20 20:02:04
CMP0178,Engine,4.209643310939268,65.26814506880564,210.7971754491571,2265,450,M003,2025-06-06 04:04:50,2024-08-01 04:04:50
CMP0179,Gear,5.0,52.628253465109744,200.90668250164265,3547,50,M019,2025-08-28 01:10:16,2024-08-28 01:10:16
CMP0180,Hydraulic Cylinder,1.672267057657244,97.24335899997774,195.24888102576136,3142,200,M009,2025-04-13 07:55:42,2024-06-21 07:55:42
CMP0181,Hydraulic Cylinder,4.283309864888833,95.33546723907949,160.64204015979684,4545,50,M015,2025-01-12 03:51:56,2024-01-23 03:51:56
CMP0182,Engine,2.033652143076291,83.62373851075633,264.6361491744073,2425,455,M002,2025-09-05 16:14:54,2025-03-30 16:14:54
CMP0183,Gear,2.265800765229009,71.46744040170616,185.92382577104067,1681,380,M004,2025-01-16 04:37:35,2024-08-16 04:37:35
CMP0184,Hydraulic Cylinder,0.478010789144606,45.86593573565017,220.39917930575845,1568,726,M018,2025-04-13 20:58:22,2024-09-29 20:58:22
CMP0185,Hydraulic Cylinder,2.8864031989065544,71.9098862917988,187.99645142487694,4720,157,M008,2025-02-01 18:58:09,2024-02-02 18:58:09
CMP0186,Engine,4.65582243490117,88.01258795140028,138.96647521818332,2628,331,M003,2025-03-16 06:27:20,2024-10-01 06:27:20
CMP0187,Gear,1.0954935196419178,65.2240768272486,200.4192717539832,1553,467,M012,2025-04-25 16:52:43,2024-12-24 16:52:43
CMP0188,Engine,0.8880465144383293,74.91787074857962,120.88493679688439,4603,315,M002,2025-04-22 01:31:29,2024-04-22 01:31:29
CMP0189,Hydraulic Cylinder,4.778647829136748,60.61203244566104,126.83047955377721,329,651,M016,2025-05-18 22:02:59,2025-04-19 22:02:59
CMP0190,Engine,0.5699292079549834,76.16022163195339,260.84177878134483,2713,515,M014,2025-04-04 00:21:56,2024-08-02 00:21:56
CMP0191,Gear,3.7753203471997665,86.61782953529716,257.77996896203126,1872,149,M011,2025-06-23 09:03:53,2024-10-10 09:03:53
CMP0192,Hydraulic Cylinder,1.072683530631244,74.34259703895293,281.04932397451773,4067,167,M019,2025-01-04 04:28:44,2024-01-05 04:28:44
CMP0193,Gear,1.7844309490950172,85.40807978332752,300.0,2417,189,M009,2025-07-04 19:56:15,2024-12-28 19:56:15
CMP0194,Hydraulic Cylinder,2.4676130792465645,76.5520153648765,195.7835766140241,3908,155,M017,2025-05-07 01:35:57,2024-07-01 01:35:57
CMP0195,Hydraulic Cylinder,1.29969916471314,85.12679864149737,190.01562474967483,2971,316,M012,2025-07-08 21:32:00,2024-08-16 21:32:00
CMP0196,Gear,0.23709377107796564,80.97005223144109,116.50038350723413,348,684,M014,2025-04-01 22:18:13,2025-02-10 22:18:13
CMP0197,Hydraulic Cylinder,4.712869829784654,100.0,94.14999411115122,4534,50,M005,2025-02-05 03:39:24,2024-02-06 03:39:24
